ID,predicted,Gene.symbol
224490_s_at,0.0,LOC101929774
211597_s_at,0.0,HOPX
204939_s_at,0.0,PLN
213580_at,0.0,CREBZF
229868_s_at,0.0,GDF15
240480_at,0.0,TINAG
204964_s_at,0.0,SSPN
214089_at,0.0,RPS8
229084_at,0.0,CNTN4
205830_at,0.0,CLGN
1558668_s_at,0.0,SPATA22
217581_at,0.0,
216828_at,0.0,LOC100505874///MLLT10P1
238661_at,0.0,MIR124-2HG
224532_at,0.0,USP26
206591_at,0.0,RAG1
237282_s_at,0.0,AKAP14
1562010_x_at,0.0,
228268_at,0.0,FMO2
231618_s_at,0.0,SUN3
239468_at,0.0,MKX
1557147_a_at,0.0,LOC101928837
228888_at,0.0,STAC2
1553296_at,0.0,ADGRG7
215871_at,0.0,PLA2G5
210403_s_at,0.0,KCNJ1
1553310_at,0.0,PLB1
1556460_a_at,0.0,ARHGAP22-IT1
241856_at,0.0,IMPG2
241479_at,0.0,
241255_at,0.0,CTNNA3
1561331_at,0.0,ERVMER61-1
237465_at,0.0,USP53
214587_at,0.0,COL8A1
1562927_at,0.0,
1562240_at,0.0,PLXNA4
237075_at,0.0,LOC101060091
237690_at,0.0,ADGRF4
233677_at,0.0,
211122_s_at,0.0,CXCL11
234373_x_at,0.0,
1561525_at,0.0,LOC101927494
227483_s_at,0.0,UNC93B1
1564276_at,0.0,C5orf56
215659_at,0.0,GSDMB
243142_at,0.0,FGD6
234602_x_at,0.0,
216534_at,0.0,
206145_at,0.0,RHAG
1559763_at,0.0,ZC3H12C
1555587_at,0.0,PDZRN3
208429_x_at,0.0,HNF4A
240401_at,0.0,
237633_at,0.0,
235487_at,0.0,
236741_at,0.0,WDR72
1552456_a_at,0.0,MBD3L2
1553622_a_at,0.0,FSIP1
231521_at,0.0,LOC102725436///PMS2P4
242882_at,0.0,RNF207
243756_at,0.0,
234497_s_at,0.0,
237059_at,0.0,VTA1
243060_at,0.0,LINC01532
1558428_at,0.0,ALS2CR11
205719_s_at,0.0,LOC101929036///PAH
1553619_a_at,0.0,TRIM43B///TRIM43
233210_at,0.0,FLJ12120
236694_at,0.0,TXLNGY
1559890_a_at,0.0,ABI1
219772_s_at,0.0,SMPX
1564539_at,0.0,LOC647323
221170_at,0.0,HRH4
231741_at,0.0,S1PR3
202887_s_at,0.0,DDIT4
217583_at,0.0,LOC101929036///PAH
214059_at,0.0,IFI44
242814_at,0.0,SERPINB9
221182_at,0.0,MROH9
239548_at,0.0,NEGR1
1552394_a_at,0.0,ENTHD1
219561_at,0.0,COPZ2
206512_at,0.0,ZRSR1///SRP19
230008_at,0.0,THSD7A
242249_at,0.0,FRG1EP
211312_s_at,0.0,WISP1
1565804_at,0.0,
1558573_at,0.0,MCTS1
1556786_at,0.0,PDE5A
213603_s_at,0.0,RAC2
220109_at,0.0,TF
228716_at,0.0,THRB
211922_s_at,0.0,CAT
243488_at,0.0,
228726_at,0.0,SERPINB1
244266_at,0.0,LOC101930400///AKR1C2
234501_x_at,0.0,
1556325_at,0.0,FILIP1
1557366_at,0.0,LOC101929141///CCDC144CP///CCDC144B///CCDC144A
242740_at,0.0,
229584_at,0.0,LRRK2
224566_at,0.0,MIR612///NEAT1
230512_x_at,0.0,TMEM165
244432_at,0.0,
243599_at,0.0,
240042_at,0.0,FIBCD1
232737_s_at,0.0,ENPP3
1568791_s_at,0.0,EDNRB-AS1
206149_at,0.0,CHP2
1562475_at,0.0,TEX41
1565668_at,0.0,TUBA1B
228269_x_at,0.0,KCNIP3
213303_x_at,0.0,ZBTB7A
206067_s_at,0.0,WT1
244651_at,0.0,
1556409_a_at,0.0,
237874_at,0.0,
207063_at,0.0,TTTY14
1560996_at,0.0,
216724_at,0.0,DCLK2
206865_at,0.0,HRK
1562527_at,0.0,LOC441666
1567862_at,0.0,DNAH14
216317_x_at,0.0,RHD///RHCE
214657_s_at,0.0,MIR612///NEAT1
207450_s_at,0.0,POU6F2
1565799_at,0.0,RAB3IP
1563132_at,0.0,LINC01169
216802_at,0.0,
234632_x_at,0.0,
1562891_at,0.0,
1564007_at,0.0,
240167_at,0.0,LINC01085
205225_at,0.0,ESR1
243079_x_at,0.0,
231294_at,0.0,
1566439_at,0.0,
1564097_at,0.0,SUCLG2-AS1
218029_at,0.0,FAM65A
1559526_at,0.0,LOC101930421
229049_at,0.0,LCMT1-AS2
237520_x_at,0.0,
233126_s_at,0.0,OLAH
210359_at,0.0,MTSS1
237381_at,0.0,LOC101928035
243832_at,0.0,
1569677_a_at,0.0,MCMDC2
1554816_at,0.0,ASTN2
233166_at,0.0,DEFB126
233927_at,0.0,
207174_at,0.0,GPC5
224126_at,0.0,SLC10A7
230702_at,0.0,
1554871_at,0.0,
1570105_at,0.0,
1552965_a_at,0.0,B3GNT7
219682_s_at,0.0,TBX3
230303_at,0.0,SYNPR
208294_x_at,0.0,CSHL1
239457_at,0.0,ATP8B3
1555816_at,0.0,THSD4
1564356_at,0.0,ZNF568
234794_at,0.0,
222813_at,0.0,ZNF668
1570355_a_at,0.0,DPY19L1
1553383_at,0.0,ARHGAP42
244119_at,0.0,LINC00551
1554273_a_at,0.0,ERAP2
1560066_at,0.0,
217546_at,0.0,MT1M
1555313_a_at,0.0,MCF2
216000_at,0.0,
1557405_at,0.0,LOC100130111
238196_at,0.0,LOC285095
221029_s_at,0.0,WNT5B
229476_s_at,0.0,THRSP
224342_x_at,0.0,BMS1P20
220872_at,0.0,PRO2964
244107_at,0.0,DSC3
206086_x_at,0.0,HFE
204609_at,0.0,CCDC85B
208575_at,0.0,HIST1H3A
227909_at,0.0,SMIM10L2B///SMIM10L2A
1552359_at,0.0,MCMDC2
239461_at,0.0,GALNT15
1555034_at,0.0,CLRN1
211682_x_at,0.0,UGT2B28
1562260_at,0.0,
1559412_at,0.0,MIR99AHG
1564514_at,0.0,SNRK
240090_at,0.0,
216414_at,0.0,
220594_at,0.0,OGT
219962_at,0.0,ACE2
217302_at,0.0,OR2F2
208087_s_at,0.0,ZBP1
230173_at,0.0,TRIM4
207599_at,0.0,MMP20
216313_at,0.0,PCDHB17P
1565742_at,0.0,
206602_s_at,0.0,LOC401021///HOXD4///HOXD3
227354_at,0.0,PAG1
232635_at,0.0,CEP128
242177_at,0.0,
1556067_a_at,0.0,KDM6B
201432_at,0.0,CAT
216299_s_at,0.0,XRCC3
207149_at,0.0,CDH12
1554443_s_at,0.0,BEST1
1563332_at,0.0,
218486_at,0.0,KLF11
234847_at,0.0,LINC00309
243926_at,0.0,
1565936_a_at,0.0,LMO3
1562488_at,0.0,PIEZO2
234352_x_at,0.0,POLB
1564794_at,0.0,
1554252_a_at,0.0,CERS3
242516_x_at,0.0,RBM46
1554068_s_at,0.0,C12orf66
237290_at,0.0,
1569157_s_at,0.0,LOC100505555///ZNF846
209383_at,0.0,DDIT3
234571_at,0.0,
215172_at,0.0,PTPN20
236562_at,0.0,ZNF439
1562643_at,0.0,LOC101929279
211180_x_at,0.0,LOC101928269///LOC100506403///RUNX1
232531_at,0.0,EMX2OS
229527_s_at,0.0,OSBPL11
237508_at,0.0,
207276_at,0.0,CDR1
242236_at,0.0,
229715_at,0.0,NCR3LG1
233923_at,0.0,ARHGAP42
231202_at,0.0,ALDH1L2
244598_at,0.0,LCP2
232059_at,0.0,DSCAML1
217091_at,0.0,
210755_at,0.0,HGF
225996_at,0.0,LONRF2
205168_at,0.0,DDR2
228711_at,0.0,LOC101929740///ZNF37A
211155_s_at,0.0,THPO
239182_at,0.0,HAGLR
240694_at,0.0,
1561761_x_at,0.0,LOC645513
215448_at,0.0,
224362_at,0.0,LOC100128922
1562292_at,0.0,ANKRD30B
1553809_a_at,0.0,TMEM252
1566586_at,0.0,
239150_at,0.0,SNTN
227596_at,0.0,FLJ37453
1563070_at,0.0,LINC01395
1559856_s_at,0.0,KMT2A
228112_at,0.0,DNAH1
